Product_ID,Product_Name,Category,Unit_Cost_USD,Year,Month,Demand_Units,Warehouse_ID,Supplier_ID,Stock_Units,Reorder_Point_Units,Inventory_Lead_Time_Days,Inventory_Value_USD,Supplier_Name,Supplier_Lead_Time_Days,Reliability_Score,Holding_Cost_Per_Unit_USD,Warehouse_Location,Warehouse_Capacity_Units
P3618,Product2619 ,battery packs,496.13,2023,1,197,W8,S138,139,390,19,24631.11,Supplier_39,24,0.91,0.26, Houston,20877
P3346, Product2347,engine parts,473.01,2022,4,167,W10,S157,467,480,12,25369.19,Supplier_58,18,1,0.29, Chicago,56222
P2863, Product1864,BRAKE PADS,448.34,2022,3,128,W9,S198,498,385,21,45704.92,Supplier_99,27,0.99,0.99,San Diego ,47212
P1672, Product673,battery packs,287.44,2022,3,65,W3,S153,0,467,11,16356.64,Supplier_54,15,0.82,0.54,Philadelphia ,48714
P1584,Product585 ,ENGINE PARTS,111.15,2022,7,176,W10,S102,68,312,25,29092.56,Supplier_3,28,0.9,1.4, Chicago,56222
P1969,Product970 ,BATTERY PACKS,434.06,2023,3,274,W9,S178,244,218,25,3402.72,Supplier_79,11,0.94,1.38,San Diego ,47212
P2107,Product1108 ,brake pads,332.88,2022,6,67,W7,S163,234,481,15,37262.18,Supplier_64,6,0.9,0.6, Dallas,68292
P3536, Product2537,bolts,132.95,2022,11,89,W3,S195,380,215,13,39234.97,Supplier_96,13,0.93,0.84,Philadelphia ,48714
P3981, Product2982,battery packs,303.83,2023,6,282,W9,S175,919,460,10,44259.41,Supplier_76,13,1,0.56,San Diego ,47212
P2496, Product1497,battery packs,478.2,2023,5,357,W3,S150,263,419,24,35397.35,Supplier_51,23,0.98,1.13,Philadelphia ,48714
P2452, Product1453,ENGINE PARTS,198.69,2023,8,207,W10,S157,866,52,9,16327.53,Supplier_58,18,1,1.35, Chicago,56222
P1890, Product891,engine parts,494.67,2023,3,177,W2,S157,556,174,20,17611.62,Supplier_58,18,1,1.41, Dallas,37687
P2074, Product1075,GEARS,271.6,2023,4,240,W4,S113,105,134,28,3662.33,Supplier_14,25,0.81,1.39, Chicago,78107
P3815, Product2816,gears,296.91,2023,11,199,W6,S127,165,310,6,30643.18,Supplier_28,5,0.86,0.64,Los Angeles ,44647
P3301, Product2302,BRAKE PADS,184.14,2022,1,408,W9,S158,492,264,12,13439.44,Supplier_59,14,0.87,0.96,San Diego ,47212
P2604, Product1605,engine parts,87.13,2023,7,287,W2,S140,723,141,20,15286.4,Supplier_41,20,0.97,0.32, Dallas,37687
P2098, Product1099,BRAKE PADS,98.24,2023,8,294,W10,S133,627,245,12,14994.59,Supplier_34,13,0.85,0.14, Chicago,56222
P1500,Product501 ,BOLTS,146.07,2023,5,260,W6,S149,113,140,11,29404.15,Supplier_50,17,0.89,1.25,Los Angeles ,44647
P3617,Product2618 ,battery packs,191.96,2022,1,174,W1,S196,625,177,26,42108.8,Supplier_97,9,0.98,0.56, Phoenix,69569
P2802,Product1803 ,BOLTS,373.62,2022,8,291,W5,S143,848,71,26,34568.04,Supplier_44,18,0.84,0.65, New York,43441
P2566,Product1567 ,brake pads,355.94,2022,1,384,W9,S105,610,214,29,1459.24,Supplier_6,14,0.9,0.69,San Diego ,47212
P1267, Product268,brake pads,11.7,2022,6,180,W6,S160,147,417,18,10730.54,Supplier_61,22,0.83,0.96,Los Angeles ,44647
P3625, Product2626,ENGINE PARTS,179.98,2023,2,150,W8,S110,113,92,17,21197.5,Supplier_11,7,0.9,0.82, Houston,20877
P1253,Product254 ,bolts,38.09,2022,5,66,W7,S146,37,70,27,21766.38,Supplier_47,20,0.9,0.5, Dallas,68292
P2000,Product1001 ,battery packs,314.55,2023,1,175,W8,S130,103,203,8,45785.22,Supplier_31,7,0.84,0.62, Houston,20877
P3802,Product2803 ,BATTERY PACKS,74.55,2022,11,480,W2,S199,964,380,12,41111.25,Supplier_100,29,0.8,0.99, Dallas,37687
P2090, Product1091,ENGINE PARTS,136.51,2022,10,486,W4,S127,641,369,26,26896.62,Supplier_28,5,0.86,0.59, Chicago,78107
P1759,Product760 ,engine parts,99.58,2023,9,387,W8,S106,982,251,13,20824.35,Supplier_7,29,0.94,0.75, Houston,20877
P1904, Product905,ENGINE PARTS,445.88,2022,5,494,W8,S195,4,167,27,22368.81,Supplier_96,13,0.93,1.24, Houston,20877
P2485,Product1486 ,GEARS,187.63,2023,9,116,W6,S171,521,296,22,26560.17,Supplier_72,27,0.81,1.22,Los Angeles ,44647
P1457,Product458 ,GEARS,472.95,2023,4,54,W9,S165,808,61,5,16839.66,Supplier_66,21,0.95,0.82,San Diego ,47212
P2193,Product1194 ,engine parts,275.89,2023,5,383,W9,S166,561,423,13,25874.64,Supplier_67,6,0.88,0.97,San Diego ,47212
P2590,Product1591 ,gears,66.48,2023,3,116,W5,S171,464,85,28,7498.9,Supplier_72,27,0.81,1.5, New York,43441
P2337, Product1338,BOLTS,193.69,2023,2,237,W6,S132,456,384,27,16923.3,Supplier_33,9,0.98,0.23,Los Angeles ,44647
P3056, Product2057,brake pads,326.76,2023,6,180,W9,S193,477,336,18,47314.57,Supplier_94,19,0.87,0.7,San Diego ,47212
P3393, Product2394,gears,53.44,2023,3,213,W7,S146,580,451,16,48770.74,Supplier_47,20,0.9,0.59, Dallas,68292
P2776, Product1777,GEARS,254.01,2022,10,102,W10,S133,406,365,10,13983.3,Supplier_34,13,0.85,1.28, Chicago,56222
P2327,Product1328 ,ENGINE PARTS,51.55,2023,9,451,W2,S105,174,148,21,39270.78,Supplier_6,14,0.9,1.24, Dallas,37687
P1556,Product557 ,brake pads,201.44,2023,4,228,W8,S136,760,360,13,20512.27,Supplier_37,23,0.94,0.5, Houston,20877
P1862, Product863,battery packs,200.01,2022,10,259,W6,S104,526,401,23,23485.69,Supplier_5,15,0.82,0.17,Los Angeles ,44647
P2744,Product1745 ,battery packs,216.46,2023,9,239,W6,S172,813,198,5,32169.79,Supplier_73,29,1,0.56,Los Angeles ,44647
P2501,Product1502 ,GEARS,475.2,2023,2,2160,W6,S190,594,323,25,38127.28,Supplier_91,22,0.98,0.29,Los Angeles ,44647
P2622,Product1623 ,GEARS,183.45,2023,9,353,W6,S115,963,275,5,23463.34,Supplier_16,19,0.94,0.86,Los Angeles ,44647
P2281, Product1282,GEARS,177.54,2023,9,363,W7,S188,671,126,14,49955.59,Supplier_89,20,0.95,0.87, Dallas,68292
P3056, Product2057,brake pads,326.76,2022,7,441,W7,S168,20,267,10,2288.8,Supplier_69,12,0.84,1.33, Dallas,68292
P1954,Product955 ,gears,322.82,2022,2,452,W1,S172,556,289,26,33416.95,Supplier_73,29,1,0.66, Phoenix,69569
P1255,Product256 ,ENGINE PARTS,298.37,2023,12,357,W2,S163,953,78,20,17498.3,Supplier_64,6,0.9,0.2, Dallas,37687
P1745, Product746,BOLTS,262.78,2022,10,379,W6,S139,458,284,15,43082.16,Supplier_40,29,0.91,0.44,Los Angeles ,44647
P1704, Product705,BATTERY PACKS,449.47,2022,12,92,W6,S157,270,474,19,31292.56,Supplier_58,18,1,1.05,Los Angeles ,44647
P2047,Product1048 ,ENGINE PARTS,115.97,2022,5,151,W8,S167,771,340,5,37566.55,Supplier_68,5,0.82,0.65, Houston,20877
P3365,Product2366 ,gears,329.36,2022,8,317,W7,S174,805,222,13,4785.51,Supplier_75,10,0.83,0.5, Dallas,68292
P1600,Product601 ,bolts,350.23,2023,4,243,W5,S151,431,454,23,29173.77,Supplier_52,19,0.91,1, New York,43441
P2747, Product1748,battery packs,118.96,2023,10,439,W1,S197,382,258,19,4077.84,Supplier_98,11,0.85,1.11, Phoenix,69569
P2766,Product1767 ,battery packs,372.24,2022,3,4730,W4,S191,119,217,6,5709.88,Supplier_92,17,0.92,0.34, Chicago,78107
P3669,Product2670 ,bolts,368.71,2022,4,481,W7,S190,172,395,17,4524.42,Supplier_91,22,0.98,1.04, Dallas,68292
P1288, Product289,BRAKE PADS,117.22,2022,9,381,W7,S122,432,385,22,40038.59,Supplier_23,15,0.9,1.42, Dallas,68292
P2237,Product1238 ,bolts,303.81,2023,8,197,W7,S194,495,362,25,4706.99,Supplier_95,15,0.87,0.37, Dallas,68292
P1556,Product557 ,brake pads,201.44,2022,9,274,W8,S136,760,360,13,20512.27,Supplier_37,23,0.94,0.5, Houston,20877
P3802,Product2803 ,BATTERY PACKS,74.55,2022,10,428,W2,S199,964,380,12,41111.25,Supplier_100,29,0.8,0.99, Dallas,37687
P1486,Product487 ,ENGINE PARTS,72.64,2022,9,482,W10,S179,617,396,10,27369.36,Supplier_80,11,0.92,0.32, Chicago,56222
P1684, Product685,bolts,463.56,2023,10,429,W8,S172,503,281,27,37740.16,Supplier_73,29,1,0.8, Houston,20877
P1342, Product343,brake pads,485.81,2023,1,348,W4,S137,159,488,5,48126.54,Supplier_38,14,0.96,1.44, Chicago,78107
P2253,Product1254 ,ENGINE PARTS,140.85,2022,4,395,W4,S162,72,128,21,21673.05,Supplier_63,24,0.85,0.84, Chicago,78107
P1874,Product875 ,bolts,100.07,2022,1,361,W7,S114,926,81,8,7769.81,Supplier_15,28,0.81,0.56, Dallas,68292
P3263,Product2264 ,BATTERY PACKS,48.52,2022,11,146,W2,S110,753,257,25,42766.05,Supplier_11,7,0.9,0.64, Dallas,37687
P3186,Product2187 ,bolts,99.2,2022,11,186,W5,S127,632,286,6,35541.6,Supplier_28,5,0.86,0.28, New York,43441
P2171,Product1172 ,GEARS,285.84,2023,9,331,W9,S175,754,225,18,45384.09,Supplier_76,13,1,0.23,San Diego ,47212
P1640, Product641,ENGINE PARTS,348.33,2023,7,438,W9,S117,681,458,5,34930.94,Supplier_18,22,0.88,1.21,San Diego ,47212
P3549,Product2550 ,gears,32.33,2022,11,238,W5,S158,620,316,21,25998.25,Supplier_59,14,0.87,0.88, New York,43441
P2895,Product1896 ,BATTERY PACKS,141.02,2022,11,455,W8,S102,356,84,21,28627.11,Supplier_3,28,0.9,0.38, Houston,20877
P3398,Product2399 ,BATTERY PACKS,430.59,2023,4,184,W3,S108,400,195,18,47040.35,Supplier_9,13,0.89,0.27,Philadelphia ,48714
P3663,Product2664 ,BOLTS,261.06,2023,11,494,W6,S175,19,219,16,27540.75,Supplier_76,13,1,1.29,Los Angeles ,44647
P2765,Product1766 ,BRAKE PADS,334.29,2022,11,378,W8,S100,981,52,28,16918.29,Supplier_1,18,0.93,1.35, Houston,20877
P1969,Product970 ,BATTERY PACKS,434.06,2022,4,257,W9,S178,244,218,25,3402.72,Supplier_79,11,0.94,1.38,San Diego ,47212
P1724,Product725 ,bolts,438.77,2022,10,437,W1,S128,683,133,25,2364.02,Supplier_29,10,0.97,1.2, Phoenix,69569
P1795,Product796 ,BOLTS,28.92,2023,6,413,W6,S170,23,250,11,34154.06,Supplier_71,23,0.97,0.13,Los Angeles ,44647
P3402, Product2403,ENGINE PARTS,137.79,2022,2,378,W4,S180,669,429,17,39846.23,Supplier_81,8,0.88,0.51, Chicago,78107
P1291, Product292,battery packs,146.75,2022,8,269,W1,S178,984,74,12,25345.96,Supplier_79,11,0.94,0.31, Phoenix,69569
P3696, Product2697,BATTERY PACKS,318.6,2023,5,483,W2,S170,864,194,9,37490.89,Supplier_71,23,0.97,0.99, Dallas,37687
P3644, Product2645,engine parts,468.94,2022,12,266,W9,S179,662,238,21,7876.56,Supplier_80,11,0.92,0.84,San Diego ,47212
P2378,Product1379 ,brake pads,282.87,2022,11,418,W5,S155,91,78,19,19328.34,Supplier_56,13,0.91,0.95, New York,43441
P1703,Product704 ,battery packs,299.07,2023,6,255,W4,S149,956,140,11,11584.95,Supplier_50,17,0.89,0.93, Chicago,78107
P1404, Product405,brake pads,282.16,2022,5,220,W7,S196,638,473,18,47513.09,Supplier_97,9,0.98,0.92, Dallas,68292
P1133, Product134,bolts,392.05,2023,11,244,W10,S157,208,80,12,30688.45,Supplier_58,18,1,0.29, Chicago,56222
P3175,Product2176 ,engine parts,84.17,2023,3,72,W7,S110,475,192,12,13160.33,Supplier_11,7,0.9,0.98, Dallas,68292
P3954, Product2955,BATTERY PACKS,208.83,2022,2,68,W9,S133,916,499,19,12461.4,Supplier_34,13,0.85,0.52,San Diego ,47212
P2030,Product1031 ,bolts,207.92,2023,8,467,W8,S173,17,417,19,34107.92,Supplier_74,6,0.88,1.19, Houston,20877
P1034, Product35,gears,219.22,2022,5,395,W10,S195,770,194,17,7666.53,Supplier_96,13,0.93,0.22, Chicago,56222
P1293, Product294,brake pads,277.35,2022,4,480,W3,S106,760,273,28,37689.48,Supplier_7,29,0.94,0.93,Philadelphia ,48714
P1029, Product30,BOLTS,112.17,2022,7,174,W4,S151,840,287,19,28437.1,Supplier_52,19,0.91,0.72, Chicago,78107
P2525,Product1526 ,BOLTS,97.6,2023,3,320,W6,S145,581,309,9,46484.82,Supplier_46,27,0.83,1.38,Los Angeles ,44647
P3671, Product2672,engine parts,313.01,2023,4,338,W4,S178,748,339,25,30027.52,Supplier_79,11,0.94,0.59, Chicago,78107
P3504, Product2505,engine parts,150.48,2022,1,307,W8,S135,848,466,25,33732.47,Supplier_36,15,0.98,1.34, Houston,20877
P3793, Product2794,battery packs,75.46,2023,12,95,W3,S123,747,143,29,20893.47,Supplier_24,29,0.8,1.39,Philadelphia ,48714
P1268,Product269 ,gears,113.49,2023,2,483,W6,S180,827,162,22,37119.9,Supplier_81,8,0.88,0.52,Los Angeles ,44647
P2697, Product1698,battery packs,414.63,2022,2,372,W4,S117,451,83,10,42925.12,Supplier_18,22,0.88,0.77, Chicago,78107
P2746,Product1747 ,battery packs,142.23,2022,8,245,W2,S131,62,360,20,7189.7,Supplier_32,17,0.85,1.34, Dallas,37687
P1866,Product867 ,brake pads,169.83,2022,12,60,W3,S182,881,62,21,11066.5,Supplier_83,5,0.83,0.81,Philadelphia ,48714
P1151,Product152 ,brake pads,345.47,2023,12,334,W10,S150,620,366,24,49852.72,Supplier_51,23,0.98,0.42, Chicago,56222
P2322,Product1323 ,BATTERY PACKS,167.26,2023,12,229,W2,S105,536,137,9,7860.18,Supplier_6,14,0.9,1.24, Dallas,37687
P2831,Product1832 ,battery packs,221.77,2022,9,433,W9,S171,501,472,18,25953.27,Supplier_72,27,0.81,0.24,San Diego ,47212
P3062,Product2063 ,gears,363.74,2023,8,158,W1,S117,358,426,24,14288.59,Supplier_18,22,0.88,0.66, Phoenix,69569
P3292,Product2293 ,BRAKE PADS,232.39,2022,3,262,W9,S107,361,433,8,22884.75,Supplier_8,16,0.88,1.13,San Diego ,47212
P3679,Product2680 ,BRAKE PADS,283.2,2022,9,493,W3,S192,333,328,9,46151.28,Supplier_93,16,0.89,0.34,Philadelphia ,48714
P1721, Product722,BRAKE PADS,22.94,2022,5,54,W9,S184,26,378,19,19920.75,Supplier_85,15,0.8,1.36,San Diego ,47212
P3490,Product2491 ,engine parts,226.94,2023,1,316,W5,S187,311,476,5,47270.82,Supplier_88,27,0.96,0.2, New York,43441
P2911, Product1912,GEARS,421.25,2023,10,69,W7,S121,628,123,18,26410.07,Supplier_22,11,0.88,0.7, Dallas,68292
P1133, Product134,bolts,392.05,2023,11,150,W10,S157,208,80,12,30688.45,Supplier_58,18,1,0.29, Chicago,56222
P2204,Product1205 ,ENGINE PARTS,239.51,2022,6,478,W10,S123,62,421,5,22622.96,Supplier_24,29,0.8,0.58, Chicago,56222
P3375, Product2376,gears,405.8,2022,3,427,W1,S157,338,442,9,4760.61,Supplier_58,18,1,0.1, Phoenix,69569
P3017, Product2018,BATTERY PACKS,373.81,2023,12,156,W2,S190,630,492,12,39782.72,Supplier_91,22,0.98,0.91, Dallas,37687
P3724, Product2725,ENGINE PARTS,353.84,2022,9,275,W6,S168,581,324,14,26678.19,Supplier_69,12,0.84,0.57,Los Angeles ,44647
P2215,Product1216 ,ENGINE PARTS,498.95,2023,8,406,W9,S163,761,430,8,6763.88,Supplier_64,6,0.9,1.41,San Diego ,47212
P3689,Product2690 ,BATTERY PACKS,313.6,2023,3,252,W2,S138,292,179,23,4759.98,Supplier_39,24,0.91,1.29, Dallas,37687
P1422, Product423,BATTERY PACKS,39.32,2022,9,448,W9,S189,665,360,12,41670.05,Supplier_90,11,0.97,1.1,San Diego ,47212
P1664, Product665,BOLTS,218.73,2023,10,238,W10,S154,239,208,16,41706.87,Supplier_55,26,0.9,0.65, Chicago,56222
P2204,Product1205 ,ENGINE PARTS,239.51,2022,3,127,W10,S123,62,421,5,22622.96,Supplier_24,29,0.8,0.58, Chicago,56222
P1278, Product279,battery packs,442.83,2022,2,457,W4,S150,146,234,14,34910,Supplier_51,23,0.98,0.85, Chicago,78107
P3768, Product2769,BOLTS,148.75,2023,5,394,W4,S128,3440,400,16,31390.87,Supplier_29,10,0.97,0.49, Chicago,78107
P2136, Product1137,battery packs,109.89,2023,4,417,W4,S137,875,258,7,27884.83,Supplier_38,14,0.96,1.35, Chicago,78107
P2337, Product1338,BOLTS,193.69,2022,8,284,W6,S132,456,384,27,16923.3,Supplier_33,9,0.98,0.23,Los Angeles ,44647
P1867, Product868,bolts,88.78,2022,12,348,W9,S162,983,407,21,25540.77,Supplier_63,24,0.85,0.62,San Diego ,47212
P3856,Product2857 ,battery packs,384.25,2023,12,387,W5,S118,668,405,20,44666.27,Supplier_19,5,0.83,1.16, New York,43441
P1166, Product167,GEARS,90.87,2022,4,316,W2,S148,896,451,12,34479.03,Supplier_49,17,0.82,1.47, Dallas,37687
P2248, Product1249,BATTERY PACKS,144.99,2022,11,124,W5,S138,683,345,7,20209.24,Supplier_39,24,0.91,0.91, New York,43441
P2505,Product1506 ,BATTERY PACKS,342.74,2022,12,263,W7,S190,421,467,15,20202.07,Supplier_91,22,0.98,1.4, Dallas,68292
P3733,Product2734 ,brake pads,231.14,2023,11,387,W7,S105,265,494,21,15037.43,Supplier_6,14,0.9,0.55, Dallas,68292
P1164, Product165,bolts,104.28,2022,6,75,W2,S137,581,457,25,4835.01,Supplier_38,14,0.96,0.28, Dallas,37687
P3188, Product2189,ENGINE PARTS,135.01,2022,5,630,W7,S113,939,249,12,10287.27,Supplier_14,25,0.81,0.5, Dallas,68292
P2321,Product1322 ,BOLTS,434.92,2022,4,352,W8,S163,339,116,25,46386.29,Supplier_64,6,0.9,0.12, Houston,20877
P1319, Product320,bolts,308.75,2022,3,190,W8,S101,444,133,5,15172.06,Supplier_2,12,0.83,0.17, Houston,20877
P3540,Product2541 ,battery packs,392,2023,1,74,W10,S106,475,240,21,15282.58,Supplier_7,29,0.94,1.21, Chicago,56222
P3615,Product2616 ,battery packs,369.17,2022,3,239,W4,S185,272,380,23,13157.95,Supplier_86,21,0.8,0.32, Chicago,78107
P1636,Product637 ,BRAKE PADS,147.82,2023,3,484,W7,S132,48,465,24,30340.44,Supplier_33,9,0.98,0.26, Dallas,68292
P2180, Product1181,BRAKE PADS,301.01,2023,10,209,W3,S180,490,454,17,48083.64,Supplier_81,8,0.88,1.13,Philadelphia ,48714
P2929, Product1930,ENGINE PARTS,479.7,2023,2,484,W9,S116,86,100,22,27938.57,Supplier_17,29,0.8,0.44,San Diego ,47212
P3859, Product2860,BATTERY PACKS,331.36,2022,2,404,W2,S145,935,421,29,17022.53,Supplier_46,27,0.83,0.28, Dallas,37687
P1220, Product221,ENGINE PARTS,224.67,2022,11,443,W7,S112,863,133,8,4471.57,Supplier_13,27,0.88,0.26, Dallas,68292
P2071, Product1072,engine parts,264.49,2022,6,99,W1,S173,516,192,24,21972.28,Supplier_74,6,0.88,0.27, Phoenix,69569
P2070, Product1071,BOLTS,360.47,2022,10,151,W5,S141,651,434,21,18513.2,Supplier_42,11,0.92,1.11, New York,43441
P2999,Product2000 ,BATTERY PACKS,362.38,2022,8,162,W2,S115,250,275,13,26370.72,Supplier_16,19,0.94,0.51, Dallas,37687
P3175,Product2176 ,engine parts,84.17,2022,12,118,W7,S110,475,192,12,13160.33,Supplier_11,7,0.9,0.98, Dallas,68292
P2185, Product1186,ENGINE PARTS,71.6,2023,12,224,W5,S141,67,249,16,22795.91,Supplier_42,11,0.92,0.26, New York,43441
P1061,Product62 ,gears,202.67,2023,3,280,W7,S178,350,197,9,11236.2,Supplier_79,11,0.94,0.8, Dallas,68292
P2206, Product1207,engine parts,130.17,2023,1,425,W8,S119,257,292,25,6566.61,Supplier_20,8,0.82,0.4, Houston,20877
P3894,Product2895 ,BATTERY PACKS,275.1,2023,9,474,W10,S196,373,493,15,7403.05,Supplier_97,9,0.98,0.38, Chicago,56222
P3093,Product2094 ,GEARS,457.42,2022,6,437,W8,S189,513,457,23,8381.93,Supplier_90,11,0.97,0.14, Houston,20877
P1901,Product902 ,ENGINE PARTS,297.77,2022,10,80,W3,S122,147,213,20,39674.06,Supplier_23,15,0.9,0.91,Philadelphia ,48714
P1538, Product539,BOLTS,441.27,2022,8,451,W3,S160,720,366,5,27494.15,Supplier_61,22,0.83,0.8,Philadelphia ,48714
P3696, Product2697,BATTERY PACKS,318.6,2022,12,278,W2,S170,864,194,9,37490.89,Supplier_71,23,0.97,0.99, Dallas,37687
P3915,Product2916 ,battery packs,209.43,2023,6,281,W1,S159,266,261,13,13210.41,Supplier_60,13,0.96,1.05, Phoenix,69569
P1597, Product598,battery packs,474.38,2022,8,431,W8,S167,590,279,8,5438.54,Supplier_68,5,0.82,0.81, Houston,20877
P1940,Product941 ,BATTERY PACKS,192.38,2023,7,261,W8,S195,101,367,13,7210.27,Supplier_96,13,0.93,0.19, Houston,20877
P3056, Product2057,brake pads,326.76,2022,3,349,W7,S168,20,267,10,2288.8,Supplier_69,12,0.84,1.33, Dallas,68292
P2669, Product1670,engine parts,340.08,2023,11,275,W3,S133,626,117,18,39840.85,Supplier_34,13,0.85,0.87,Philadelphia ,48714
P2954,Product1955 ,ENGINE PARTS,270.46,2023,10,233,W10,S105,34,199,8,26389.36,Supplier_6,14,0.9,0.6, Chicago,56222
P2210,Product1211 ,gears,90.26,2022,6,213,W1,S142,263,311,8,22188.4,Supplier_43,8,0.85,0.11, Phoenix,69569
P1534, Product535,battery packs,303.49,2022,5,93,W6,S139,73,344,28,16591.05,Supplier_40,29,0.91,0.89,Los Angeles ,44647
P2525,Product1526 ,BOLTS,97.6,2022,2,293,W6,S145,581,309,9,46484.82,Supplier_46,27,0.83,1.38,Los Angeles ,44647
P1242, Product243,gears,362.24,2022,2,216,W3,S118,502,212,16,48381.44,Supplier_19,5,0.83,0.77,Philadelphia ,48714
P1828,Product829 ,ENGINE PARTS,440.24,2023,1,97,W8,S192,216,322,13,5741.18,Supplier_93,16,0.89,0.88, Houston,20877
P2229, Product1230,BATTERY PACKS,370.18,2023,3,347,W6,S139,865,321,23,18173.44,Supplier_40,29,0.91,0.67,Los Angeles ,44647
P3492, Product2493,brake pads,215.07,2023,11,315,W8,S161,862,161,7,43641.48,Supplier_62,12,0.92,0.85, Houston,20877
P3940, Product2941,bolts,110.61,2022,8,281,W5,S165,569,181,12,22825.21,Supplier_66,21,0.95,0.71, New York,43441
P1987, Product988,BRAKE PADS,120.89,2022,3,383,W5,S126,139,458,8,28990.18,Supplier_27,6,0.94,0.31, New York,43441
P3258,Product2259 ,ENGINE PARTS,72.13,2023,4,351,W2,S100,20,59,29,38610.16,Supplier_1,18,0.93,0.9, Dallas,37687
P2522,Product1523 ,BATTERY PACKS,433.2,2022,4,238,W1,S182,387,278,17,36005.02,Supplier_83,5,0.83,1.38, Phoenix,69569
P1365,Product366 ,BATTERY PACKS,201.66,2023,3,173,W1,S179,496,136,21,18739.46,Supplier_80,11,0.92,1.22, Phoenix,69569
P3369, Product2370,gears,403.23,2022,9,366,W8,S175,697,58,27,48044.55,Supplier_76,13,1,1.37, Houston,20877
P2264,Product1265 ,GEARS,362.51,2023,7,226,W1,S186,157,184,18,47767.56,Supplier_87,5,0.82,0.24, Phoenix,69569
P1161,Product162 ,bolts,16.05,2023,10,375,W9,S198,597,460,9,4184.33,Supplier_99,27,0.99,0.66,San Diego ,47212
P2308, Product1309,engine parts,141.57,2023,5,345,W6,S127,471,203,10,6239.22,Supplier_28,5,0.86,0.2,Los Angeles ,44647
P1731,Product732 ,ENGINE PARTS,460.93,2022,9,371,W9,S168,24,405,6,42032.83,Supplier_69,12,0.84,0.41,San Diego ,47212
P2157, Product1158,BATTERY PACKS,322.98,2022,7,417,W9,S190,27,284,15,9819.77,Supplier_91,22,0.98,0.74,San Diego ,47212
P3551, Product2552,BRAKE PADS,187.31,2023,1,479,W10,S197,475,192,14,48081.51,Supplier_98,11,0.85,1.27, Chicago,56222
P3592, Product2593,bolts,117.2,2022,7,72,W5,S183,529,308,8,30958.38,Supplier_84,15,0.82,0.51, New York,43441
P2924, Product1925,BATTERY PACKS,398.78,2023,1,88,W4,S137,362,233,17,20987.78,Supplier_38,14,0.96,0.24, Chicago,78107
P2924, Product1925,BATTERY PACKS,398.78,2023,11,314,W4,S137,362,233,17,20987.78,Supplier_38,14,0.96,0.24, Chicago,78107
P1272, Product273,bolts,116.8,2023,4,483,W4,S138,556,288,26,31096.2,Supplier_39,24,0.91,0.77, Chicago,78107
P2259, Product1260,BRAKE PADS,93.79,2022,12,202,W1,S128,5940,428,21,8183.88,Supplier_29,10,0.97,1.28, Phoenix,69569
